munic_cp,munic_name,year,population_total,births,deaths,foreigns,migrations,mean_age,number_realestate,number_hostelry,number_entertainment,number_building,sale_price_m2,rent_price_m2,employment_total,employment_building,employment_commerce,employment_hostelry,employment_services,unemployment_total,income_per_household,income_per_person,number_crimes,open_establishments,tourism_spending
38039,Santa Úrsula,2019-01-01,14679,92,113,1243,144,41.3,9,104,10,66,1352.0,7.2,14954,1944,3592,2930,12223,19360,31764.0,11735.0,3269,33,968.0
38039,Santa Úrsula,2018-01-01,14445,85,110,1160,263,40.9,9,106,10,63,1296.0,6.8,15108,2145,3562,2961,12167,19405,30362.0,11234.0,3269,33,968.0
38039,Santa Úrsula,2017-01-01,14189,107,93,1074,273,40.5,9,96,8,59,1249.0,6.2,10588,1302,2688,2016,8729,15451,28778.0,10609.0,3269,33,968.0
38040,Santiago del Teide,2021-01-01,11115,70,71,4301,530,43.0,19,121,8,31,2118.0,9.0,3419,208,420,1552,3004,2781,28175.0,10351.0,3269,11,1044.4
38040,Santiago del Teide,2020-01-01,11281,78,47,4550,321,42.8,19,121,7,31,2150.0,9.1,12730,852,1633,5717,11077,11579,26235.0,9308.0,3269,9,1058.35
38040,Santiago del Teide,2019-01-01,11111,87,59,4479,700,42.8,21,134,10,31,2159.0,8.6,14324,936,1887,6693,12603,7849,28551.0,10070.0,3269,19,1008.02
38040,Santiago del Teide,2018-01-01,10755,82,67,4245,316,43.0,21,135,11,25,1768.0,7.7,14737,777,2049,6997,13257,7548,26862.0,9516.0,3269,19,1125.52
38040,Santiago del Teide,2017-01-01,10576,74,66,4225,683,43.7,20,130,10,24,1671.0,6.6,10730,491,1477,5118,9702,5753,25252.0,9086.0,3269,21,968.0
38041,El Sauzal,2021-01-01,8918,49,69,520,28,43.1,2,50,4,24,1460.0,9.0,1826,176,298,329,1521,2823,40938.0,14688.0,3269,33,968.0
38041,El Sauzal,2020-01-01,8940,41,63,551,39,42.6,1,45,4,26,1326.0,9.1,6979,665,1206,1133,5799,11591,40679.0,14420.0,3269,33,968.0
38041,El Sauzal,2019-01-01,8934,58,71,591,64,42.4,1,47,5,30,1377.0,8.6,7297,770,1323,1203,5997,10106,40696.0,14134.0,3269,33,968.0
38041,El Sauzal,2018-01-01,8947,59,66,614,36,42.1,1,48,3,31,1312.0,7.7,7190,829,1326,1155,5813,10459,38067.0,13205.0,3269,33,968.0
38041,El Sauzal,2017-01-01,8873,75,55,552,52,41.7,1,49,3,28,1250.0,6.6,5098,539,916,826,4170,8838,35641.0,12234.0,3269,33,968.0
38042,Los Silos,2021-01-01,4692,21,52,373,62,47.3,1,15,2,7,1139.0,9.0,1027,56,133,98,552,1692,31020.0,10813.0,3269,33,968.0
38042,Los Silos,2020-01-01,4743,20,56,370,47,46.8,1,13,2,7,1209.0,9.1,3974,203,461,361,2069,6990,31982.0,11062.0,3269,33,968.0
38042,Los Silos,2019-01-01,4693,29,64,346,9,46.5,0,14,2,11,1035.0,8.6,4203,243,486,405,2213,5804,30931.0,10299.0,3269,33,968.0
38042,Los Silos,2018-01-01,4757,26,53,384,17,46.5,0,12,3,10,1035.0,7.7,4228,227,522,412,2261,5727,39814.0,13295.0,3269,33,968.0
38042,Los Silos,2017-01-01,4848,32,52,425,-25,46.3,0,14,3,10,1035.0,6.6,3074,150,388,327,1681,4416,27453.0,9149.0,3269,33,968.0
38043,Tacoronte,2021-01-01,24346,134,189,918,97,42.7,6,74,13,64,1302.0,7.4,6072,525,1099,641,4845,8522,39859.0,14450.0,584,33,968.0
38043,Tacoronte,2020-01-01,24201,118,174,922,50,42.4,4,67,13,59,1312.0,7.6,21794,1854,4168,2179,17034,35605,37417.0,13505.0,3269,33,968.0
38043,Tacoronte,2019-01-01,24134,151,187,891,152,42.0,5,78,15,59,1244.0,7.2,22295,1998,4343,2325,17206,31984,38118.0,13594.0,3269,33,968.0
38043,Tacoronte,2018-01-01,23961,160,183,848,239,41.7,6,76,17,59,1185.0,6.0,21498,1940,4360,2083,16754,32965,36175.0,12815.0,3269,33,968.0
38043,Tacoronte,2017-01-01,23812,178,172,809,157,41.3,5,74,16,62,1214.0,5.5,15313,1495,3309,1486,11771,27258,33721.0,11893.0,3269,33,968.0
38044,El Tanque,2021-01-01,2829,17,28,221,17,44.0,0,13,2,6,814.0,9.0,546,106,85,83,333,1101,27807.0,9864.0,3269,33,968.0
38044,El Tanque,2020-01-01,2852,16,26,236,16,43.4,0,13,2,5,814.0,9.1,1918,193,310,334,1355,4291,26327.0,9142.0,3269,33,968.0
38044,El Tanque,2019-01-01,2763,17,25,191,88,43.2,0,16,3,4,814.0,8.6,1966,124,326,385,1482,3481,27284.0,9320.0,3269,33,968.0
38044,El Tanque,2018-01-01,2670,22,36,137,102,43.7,0,17,2,4,814.0,7.7,1777,119,330,372,1308,3617,25678.0,8827.0,3269,33,968.0
38044,El Tanque,2017-01-01,2650,13,27,103,45,43.6,0,16,2,4,814.0,6.6,1222,81,235,241,879,2670,24294.0,8467.0,3269,33,968.0
38046,Tegueste,2021-01-01,11326,50,81,300,41,43.2,3,34,5,31,1355.0,9.0,2410,222,414,229,1776,3082,45894.0,16109.0,3269,33,968.0
38046,Tegueste,2020-01-01,11287,49,84,267,42,42.8,4,35,5,28,1296.0,9.1,9438,1023,1589,862,6789,13109,43875.0,15212.0,3269,33,968.0
38046,Tegueste,2019-01-01,11294,66,81,248,48,42.4,4,35,7,32,1292.0,8.6,9918,1174,1661,1025,7168,11952,43793.0,15087.0,3269,33,968.0
38046,Tegueste,2018-01-01,11203,89,88,238,113,42.1,3,40,6,34,1265.0,7.7,9695,1135,1699,1057,7100,12414,42005.0,14405.0,3269,33,968.0
38046,Tegueste,2017-01-01,11108,86,82,218,97,41.8,1,43,5,33,1207.0,6.6,6997,793,1303,748,5171,9874,39477.0,13478.0,3269,33,968.0
38051,La Victoria de Acentejo,2021-01-01,9161,52,70,383,17,42.9,2,28,5,34,1276.0,9.0,1744,352,336,192,1264,3411,28599.0,10794.0,3269,33,968.0
38051,La Victoria de Acentejo,2020-01-01,9158,54,81,418,22,42.7,2,28,4,33,1213.0,9.1,6611,1226,1329,740,4900,14577,26781.0,10032.0,3269,33,968.0
38051,La Victoria de Acentejo,2019-01-01,9185,62,81,408,72,42.2,2,28,4,31,1121.0,8.6,7008,1284,1505,787,5162,12811,26801.0,10009.0,3269,33,968.0
38051,La Victoria de Acentejo,2018-01-01,9040,57,73,310,116,41.9,2,33,3,33,1124.0,7.7,6929,1386,1477,756,5008,13065,25158.0,9335.0,3269,33,968.0
38051,La Victoria de Acentejo,2017-01-01,8969,67,70,248,43,41.5,1,32,3,33,1179.0,6.6,4908,1017,1075,524,3555,10286,23926.0,8883.0,3269,33,968.0
38052,Vilaflor de Chasna,2021-01-01,1789,10,22,281,17,46.0,1,14,1,5,2372.0,9.0,461,29,82,117,386,509,31356.0,12506.0,3269,33,968.0
38052,Vilaflor de Chasna,2020-01-01,1715,9,13,250,20,45.9,1,13,1,5,1821.0,9.1,1649,105,303,402,1376,2089,29514.0,11491.0,3269,33,968.0
38052,Vilaflor de Chasna,2019-01-01,1667,7,13,203,39,45.8,1,15,2,6,1986.0,8.6,1910,113,365,505,1571,1401,32266.0,12370.0,3269,33,968.0
38052,Vilaflor de Chasna,2018-01-01,1645,7,14,186,42,45.1,1,18,2,6,1631.0,7.7,1906,117,355,498,1580,1425,30732.0,11880.0,3269,33,968.0
38052,Vilaflor de Chasna,2017-01-01,1615,15,16,152,-30,45.4,1,17,2,6,1658.0,6.6,1230,78,254,290,1010,1172,28821.0,11325.0,3269,33,968.0
