nombre,actividad_tipo,municipio_codigo,municipio_nombre,longitud,latitud,year
Zumeria La Campesina,bar cafeteria zumeria,38006,Arona,-16.65917861,28.0909307,2016-01-01
Zumeria Kefran,bar cafeteria zumeria,38028,Puerto de la Cruz,-16.552972,28.41396299,2016-01-01
Zumeria Kefran,bar cafeteria zumeria,38028,Puerto de la Cruz,-16.552972,28.41396299,2019-01-01
Zumeria Kefran,bar cafeteria zumeria,38028,Puerto de la Cruz,-16.552972,28.41396299,2018-01-01
Zumeria Kefran,bar cafeteria zumeria,38028,Puerto de la Cruz,-16.552972,28.41396299,2017-01-01
Zumeria Hoyita Plaza,bar cafeteria zumeria,38017,Granadilla de Abona,-16.55616333,28.07916296,2016-01-01
Zumeria Hawaii,bar cafeteria,38011,Candelaria,-16.36505757,28.36861895,2017-01-01
Zumeria Hawaii,bar cafeteria,38011,Candelaria,-16.36505757,28.36861895,2016-01-01
Zumeria Guarapo III,bar cafeteria zumeria,38038,Santa Cruz de Tenerife,-16.32008955,28.4334655,2016-01-01
Zumeria El Tranvia,bar cafeteria zumeria,38038,Santa Cruz de Tenerife,-16.28080156,28.45255488,2016-01-01
Zumeria El Tranvia,bar cafeteria zumeria,38038,Santa Cruz de Tenerife,-16.28080156,28.45255488,2017-01-01
Zumeria El Tankito,bar cafeteria zumeria,38017,Granadilla de Abona,-16.561105,28.08448999,2016-01-01
Zumeria El Sueño de Monica,bar cafeteria zumeria,38026,La Orotava,-16.519915,28.39273299,2016-01-01
Zumeria El Crece,bar cafeteria,38038,Santa Cruz de Tenerife,-16.31726939,28.44175832,2016-01-01
Zumeria El Crece,bar cafeteria,38038,Santa Cruz de Tenerife,-16.31726939,28.44175832,2017-01-01
Zumeria El Bocatin II,bar cafeteria,38041,El Sauzal,-16.42726944,28.47387221,2016-01-01
Zumeria El Bocadillo,bar cafeteria zumeria,38043,Tacoronte,-16.41286621,28.47725982,2016-01-01
Zumeria El Bocadillo,bar cafeteria zumeria,38043,Tacoronte,-16.41286621,28.47725982,2017-01-01
Zumeria Diamante,restaurante,38038,Santa Cruz de Tenerife,-16.19108906,28.50459962,2016-01-01
Zumeria Castro,bar cafeteria zumeria,38038,Santa Cruz de Tenerife,-16.28156362,28.45665635,2016-01-01
Zumeria Bocateria Tinguaro,bar cafeteria,38001,Adeje,-16.72924652,28.12142492,2016-01-01
Zumeria Bocateria Tinguaro,bar cafeteria,38001,Adeje,-16.72924652,28.12142492,2018-01-01
Zumeria Bocateria Tinguaro,bar cafeteria,38001,Adeje,-16.72924652,28.12142492,2017-01-01
Zumeria Bandera,bar cafeteria,38006,Arona,-16.67120842,28.07397135,2018-01-01
Zumeria Bandera,bar cafeteria,38006,Arona,-16.67120842,28.07397135,2017-01-01
Zumeria Bachatta,bar cafeteria zumeria,38023,La Laguna,-16.316718,28.48358599,2016-01-01
Zumeria Bachatta,bar cafeteria zumeria,38023,La Laguna,-16.316718,28.48358599,2018-01-01
Zumeria Bachatta,bar cafeteria zumeria,38023,La Laguna,-16.316718,28.48358599,2017-01-01
Zumeria Avenida,bar cafeteria zumeria,38006,Arona,-16.66916516,28.07500797,2017-01-01
Zumeria Avenida,bar cafeteria zumeria,38006,Arona,-16.66916516,28.07500797,2016-01-01
Zumeria Atlantida,bar cafeteria,38011,Candelaria,-16.3665699,28.36455486,2016-01-01
Zumeria Amogante,bar,38023,La Laguna,-16.2865767,28.46877822,2017-01-01
Zumeria Amogante,bar,38023,La Laguna,-16.2865767,28.46877822,2016-01-01
Zumeria Almenara,bar cafeteria,38006,Arona,-16.65408409,28.06739457,2019-01-01
Zumeria Almenara,bar cafeteria,38006,Arona,-16.65408409,28.06739457,2018-01-01
Zumeria Almenara,bar cafeteria,38006,Arona,-16.65408409,28.06739457,2017-01-01
Zumeria Alcora,bar cafeteria,38006,Arona,-16.66061472,28.06995421,2019-01-01
Zumeria Alcora,bar cafeteria,38006,Arona,-16.66061472,28.06995421,2016-01-01
Zumeria Alcora,bar cafeteria,38006,Arona,-16.66061472,28.06995421,2017-01-01
Zumeria Alcora,bar cafeteria,38006,Arona,-16.66061472,28.06995421,2018-01-01
Zumeria Alba,bar cafeteria zumeria,38023,La Laguna,-16.29809893,28.44655076,2016-01-01
Zumeria Aguere Belenoe,bar cafeteria,38023,La Laguna,-16.30785917,28.47150131,2018-01-01
Zumeria Aguere Belenoe,bar cafeteria,38023,La Laguna,-16.30785917,28.47150131,2016-01-01
Zumeria Aguere Belenoe,bar cafeteria,38023,La Laguna,-16.30785917,28.47150131,2017-01-01
Zum Stuttgarter,restaurante,38001,Adeje,-16.73444271,28.07783671,2017-01-01
Zum Krombacher,bar,38001,Adeje,-16.72975457,28.07221571,2017-01-01
Zum Eck,bar,38028,Puerto de la Cruz,-16.54265435,28.41418516,2016-01-01
Zulkia Moda,moda complementos,38017,Granadilla de Abona,-16.55732708,28.07686691,2017-01-01
Zulia,bar cafeteria,38023,La Laguna,-16.36706451,28.53587922,2017-01-01
Zulia,bar cafeteria,38023,La Laguna,-16.36706451,28.53587922,2016-01-01
Zoroa VV,vivienda vacacional,38011,Candelaria,-16.36333948,28.37443782,2018-01-01
