TIME_PERIOD	MEDIDAS	TERRITORIO	ACTIVIDAD_ECONOMICA	OBS_VALUE	ESTADO_OBSERVACION	NOTAS_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
2021	Empresa inscrita en la Seguridad Social	La Orotava	Construcción	153			
2020	Empresa inscrita en la Seguridad Social	La Orotava	Construcción	137			
2019	Empresa inscrita en la Seguridad Social	La Orotava	Construcción	141			
2018	Empresa inscrita en la Seguridad Social	La Orotava	Construcción	132			
2017	Empresa inscrita en la Seguridad Social	La Orotava	Construcción	120			
2023	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Construcción	64			
2022	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Construcción	61			
2021	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Construcción	59			
2020	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Construcción	53			
2019	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Construcción	52			
2018	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Construcción	57			
2017	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Construcción	49			
2023	Empresa inscrita en la Seguridad Social	Los Realejos	Construcción	103			
2022	Empresa inscrita en la Seguridad Social	Los Realejos	Construcción	103			
2021	Empresa inscrita en la Seguridad Social	Los Realejos	Construcción	101			
2020	Empresa inscrita en la Seguridad Social	Los Realejos	Construcción	102			
2019	Empresa inscrita en la Seguridad Social	Los Realejos	Construcción	107			
2018	Empresa inscrita en la Seguridad Social	Los Realejos	Construcción	104			
2017	Empresa inscrita en la Seguridad Social	Los Realejos	Construcción	97			
2023	Empresa inscrita en la Seguridad Social	El Rosario	Construcción	66			
2022	Empresa inscrita en la Seguridad Social	El Rosario	Construcción	60			
2021	Empresa inscrita en la Seguridad Social	El Rosario	Construcción	55			
2020	Empresa inscrita en la Seguridad Social	El Rosario	Construcción	51			
2019	Empresa inscrita en la Seguridad Social	El Rosario	Construcción	52			
2018	Empresa inscrita en la Seguridad Social	El Rosario	Construcción	57			
2017	Empresa inscrita en la Seguridad Social	El Rosario	Construcción	53			
2023	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Construcción	11			
2022	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Construcción	12			
2021	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Construcción	12			
2020	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Construcción	10			
2019	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Construcción	12			
2018	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Construcción	10			
2017	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Construcción	13			
2023	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Construcción	74			
2022	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Construcción	74			
2021	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Construcción	67			
2020	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Construcción	58			
2019	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Construcción	65			
2018	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Construcción	64			
2017	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Construcción	54			
2023	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Construcción	531			
2022	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Construcción	516			
2021	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Construcción	490			
2020	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Construcción	457			
2019	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Construcción	458			
2018	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Construcción	449			
2017	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Construcción	441			
2023	Empresa inscrita en la Seguridad Social	Santa Úrsula	Construcción	66			
2022	Empresa inscrita en la Seguridad Social	Santa Úrsula	Construcción	67			
2021	Empresa inscrita en la Seguridad Social	Santa Úrsula	Construcción	66			
2020	Empresa inscrita en la Seguridad Social	Santa Úrsula	Construcción	58			
2019	Empresa inscrita en la Seguridad Social	Santa Úrsula	Construcción	66			
2018	Empresa inscrita en la Seguridad Social	Santa Úrsula	Construcción	63			
2017	Empresa inscrita en la Seguridad Social	Santa Úrsula	Construcción	59			
2023	Empresa inscrita en la Seguridad Social	Santiago del Teide	Construcción	38			
2022	Empresa inscrita en la Seguridad Social	Santiago del Teide	Construcción	36			
2021	Empresa inscrita en la Seguridad Social	Santiago del Teide	Construcción	31			
2020	Empresa inscrita en la Seguridad Social	Santiago del Teide	Construcción	31			
2019	Empresa inscrita en la Seguridad Social	Santiago del Teide	Construcción	31			
2018	Empresa inscrita en la Seguridad Social	Santiago del Teide	Construcción	25			
2017	Empresa inscrita en la Seguridad Social	Santiago del Teide	Construcción	24			
2023	Empresa inscrita en la Seguridad Social	El Sauzal	Construcción	24			
2022	Empresa inscrita en la Seguridad Social	El Sauzal	Construcción	24			
2021	Empresa inscrita en la Seguridad Social	El Sauzal	Construcción	24			
2020	Empresa inscrita en la Seguridad Social	El Sauzal	Construcción	26			
2019	Empresa inscrita en la Seguridad Social	El Sauzal	Construcción	30			
2018	Empresa inscrita en la Seguridad Social	El Sauzal	Construcción	31			
2017	Empresa inscrita en la Seguridad Social	El Sauzal	Construcción	28			
2023	Empresa inscrita en la Seguridad Social	Los Silos	Construcción	8			
2022	Empresa inscrita en la Seguridad Social	Los Silos	Construcción	8			
2021	Empresa inscrita en la Seguridad Social	Los Silos	Construcción	7			
2020	Empresa inscrita en la Seguridad Social	Los Silos	Construcción	7			
2019	Empresa inscrita en la Seguridad Social	Los Silos	Construcción	11			
2018	Empresa inscrita en la Seguridad Social	Los Silos	Construcción	10			
2017	Empresa inscrita en la Seguridad Social	Los Silos	Construcción	10			
2023	Empresa inscrita en la Seguridad Social	Tacoronte	Construcción	74			
2022	Empresa inscrita en la Seguridad Social	Tacoronte	Construcción	68			
2021	Empresa inscrita en la Seguridad Social	Tacoronte	Construcción	64			
2020	Empresa inscrita en la Seguridad Social	Tacoronte	Construcción	59			
2019	Empresa inscrita en la Seguridad Social	Tacoronte	Construcción	59			
2018	Empresa inscrita en la Seguridad Social	Tacoronte	Construcción	59			
2017	Empresa inscrita en la Seguridad Social	Tacoronte	Construcción	62			
2023	Empresa inscrita en la Seguridad Social	El Tanque	Construcción	6			
2022	Empresa inscrita en la Seguridad Social	El Tanque	Construcción	6			
2021	Empresa inscrita en la Seguridad Social	El Tanque	Construcción	6			
2020	Empresa inscrita en la Seguridad Social	El Tanque	Construcción	5			
2019	Empresa inscrita en la Seguridad Social	El Tanque	Construcción	4			
2018	Empresa inscrita en la Seguridad Social	El Tanque	Construcción	4			
2017	Empresa inscrita en la Seguridad Social	El Tanque	Construcción	4			
2023	Empresa inscrita en la Seguridad Social	Tegueste	Construcción	36			
2022	Empresa inscrita en la Seguridad Social	Tegueste	Construcción	34			
2021	Empresa inscrita en la Seguridad Social	Tegueste	Construcción	31			
2020	Empresa inscrita en la Seguridad Social	Tegueste	Construcción	28			
2019	Empresa inscrita en la Seguridad Social	Tegueste	Construcción	32			
2018	Empresa inscrita en la Seguridad Social	Tegueste	Construcción	34			
2017	Empresa inscrita en la Seguridad Social	Tegueste	Construcción	33			
2023	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Construcción	32			
2022	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Construcción	34			
2021	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Construcción	34			
2020	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Construcción	33			
2019	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Construcción	31			
2018	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Construcción	33			
2017	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Construcción	33			
2023	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Construcción	5			
2022	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Construcción	5			
2021	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Construcción	5			
2020	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Construcción	5			
2019	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Construcción	6			
2018	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Construcción	6			
2017	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Construcción	6			
